觀光遊憩區別,門票收入,遊客人次,上年同月份遊客人次,增減數,成長率,備註
小人國企業股份有限公司,"17271771","43941","31335","12606","40.23","門票"
埔心牧場,"7966340","49775","8325","41450","497","門票"
小烏來風景特定區,"0","25427","14480","--","75.6","電信數據人次推估"
石門水庫,"983950","237802","101234","--","134.9","電信數據人次推估"
慈湖,"0","121616","55000","--","121","電信數據人次推估"
角板山遊憩區,"0","125186","47380","--","164","電信數據人次推估"
虎頭山風景特定區,"0","240556","151580","--","58.6","電信數據人次推估"
竹圍漁港,"0","159655","137471","--","16.1","電信數據人次推估"
大溪老城區,"0","445198","48979","--","808","電信數據人次推估"
桃園市客家文化館,"0","27249","28284","-1035","-3.66","人工估算"
永安漁港,"0","111137","122081","--","-0.089","電信數據人次推估"